Zahlungs_Id;Bestell_Id;Zahlungsdatum;Betrag;Zahlungsmethode
1;7800174;03.07.2025 22:39;109.99;Bar
2;7800175;16.07.2025 07:08;55.90;Kreditkarte
3;7800176;12.05.2025 07:18;55.91;Lastschrift
4;7800177;08.06.2025 07:29;55.92;Nachnahme
5;7800178;12.05.2025 00:27;55.93;Rechnung
6;7800179;21.06.2025 12:49;55.94;Kryptowährung
7;7800180;04.07.2025 12:31;55.95;Bar
8;7800181;23.06.2025 14:42;109.99;Kreditkarte
9;7800182;08.06.2025 12:41;55.91;Lastschrift
10;7800183;10.05.2025 00:18;55.92;Nachnahme
11;7800184;09.06.2025 09:38;55.93;Rechnung
12;7800185;02.06.2025 22:30;55.94;Kryptowährung
13;7800186;30.06.2025 20:11;55.95;Bar
14;7800187;17.05.2025 13:15;55.96;Kreditkarte
15;7800188;22.07.2025 09:03;55.97;Lastschrift
16;7800189;03.07.2025 04:19;55.98;Nachnahme
17;7800190;16.07.2025 11:59;55.99;Rechnung
18;7800191;17.06.2025 16:34;55.100;Kryptowährung
19;7800192;16.06.2025 22:59;55.101;Lastschrift
20;7800193;10.05.2025 08:38;55.102;Nachnahme
21;7800194;23.05.2025 07:07;55.103;Rechnung
22;7800195;22.07.2025 07:21;55.104;Kryptowährung
23;7800196;23.07.2025 16:07;55.105;Lastschrift
24;7800197;24.05.2025 07:26;55.92;Nachnahme
25;7800198;06.06.2025 07:10;55.93;Rechnung
26;7800199;20.06.2025 18:17;17.44;Kreditkarte
27;7800200;08.06.2025 10:57;99.99;Kreditkarte
28;7800201;20.07.2025 12:01;55.94;Kreditkarte
29;7800202;22.06.2025 00:38;55.95;Kreditkarte
30;7800203;05.06.2025 15:57;17.45;Kreditkarte
31;7800204;20.06.2025 01:06;99.100;Kreditkarte
32;7800205;28.05.2025 22:21;55.96;Kreditkarte
33;7800206;04.05.2025 20:19;55.97;Kreditkarte
34;7800207;10.07.2025 23:38;17.46;Kreditkarte
35;7800208;31.05.2025 00:41;99.101;Kreditkarte
36;7800209;20.07.2025 00:09;55.98;Kreditkarte
37;7800210;29.06.2025 21:22;55.99;Kreditkarte
38;7800211;25.05.2025 05:15;17.47;Kreditkarte
39;7800212;01.07.2025 05:51;99.10;Lastschrift
40;7800213;14.06.2025 20:24;55.100;Nachnahme
41;7800214;11.05.2025 14:43;55.101;Rechnung
42;7800215;08.07.2025 11:41;17.48;Kryptowährung
43;7800216;17.07.2025 19:53;99.11;Lastschrift
44;7800217;23.05.2025 12:58;55.102;Nachnahme
45;7800218;30.06.2025 19:42;55.103;Rechnung
46;7800219;22.05.2025 20:22;17.49;Kryptowährung
47;7800220;12.07.2025 08:47;99.12;Lastschrift
48;7800221;18.05.2025 12:16;55.104;Nachnahme
49;7800222;30.06.2025 05:02;55.105;Rechnung
50;7800223;20.07.2025 01:21;17.50;Kryptowährung
51;7800224;03.07.2025 22:39;99.13;Kryptowährung
52;7800225;16.07.2025 07:08;55.106;Kryptowährung
53;7800226;12.05.2025 07:18;55.107;Kryptowährung
54;7800227;08.06.2025 07:29;17.51;Kryptowährung
55;7800228;12.05.2025 00:27;99.14;Lastschrift
56;7800229;21.06.2025 12:49;55.108;Nachnahme
57;7800230;04.07.2025 12:31;55.109;Rechnung
58;7800231;23.06.2025 14:42;17.52;Kryptowährung
59;7800232;08.06.2025 12:41;99.15;Lastschrift
60;7800233;10.05.2025 00:18;55.110;Nachnahme
61;7800234;09.06.2025 09:38;55.111;Lastschrift
62;7800235;02.06.2025 22:30;17.53;Nachnahme
63;7800236;30.06.2025 20:11;99.16;Rechnung
64;7800237;17.05.2025 13:15;55.112;Kryptowährung
65;7800238;22.07.2025 09:03;55.113;Lastschrift
66;7800239;03.07.2025 04:19;17.54;Nachnahme
67;7800240;16.07.2025 11:59;99.17;Rechnung
68;7800241;17.06.2025 16:34;55.114;Kryptowährung
69;7800242;16.06.2025 22:59;55.115;Lastschrift
70;7800243;10.05.2025 08:38;17.55;Nachnahme
71;7800244;23.05.2025 07:07;99.18;Lastschrift
72;7800245;22.07.2025 07:21;55.116;Nachnahme
73;7800246;23.07.2025 16:07;55.117;Rechnung
74;7800247;24.05.2025 07:26;17.56;Kryptowährung
75;7800248;06.06.2025 07:10;99.19;Lastschrift
76;7800249;20.06.2025 18:17;55.118;Nachnahme
77;7800250;08.06.2025 10:57;55.119;Rechnung
78;7800251;20.07.2025 12:01;17.57;Kryptowährung
79;7800252;22.06.2025 00:38;99.20;Lastschrift
80;7800253;05.06.2025 15:57;55.120;Nachnahme
81;7800254;20.06.2025 01:06;55.121;Rechnung
82;7800255;28.05.2025 22:21;17.58;Kryptowährung
83;7800256;04.05.2025 20:19;99.21;Kryptowährung
84;7800257;10.07.2025 23:38;55.122;Kryptowährung
85;7800258;31.05.2025 00:41;55.123;Lastschrift
86;7800259;20.07.2025 00:09;17.59;Nachnahme
87;7800260;29.06.2025 21:22;99.22;Rechnung
88;7800261;25.05.2025 05:15;55.124;Kryptowährung
89;7800262;01.07.2025 05:51;55.125;Lastschrift
90;7800263;14.06.2025 20:24;17.60;Nachnahme
91;7800264;11.05.2025 14:43;99.23;Rechnung
92;7800265;08.07.2025 11:41;55.126;Kryptowährung
93;7800266;17.07.2025 19:53;55.127;Lastschrift
94;7800267;23.05.2025 12:58;17.61;Nachnahme
95;7800268;30.06.2025 19:42;99.24;Rechnung
96;7800269;22.05.2025 20:22;55.128;Kryptowährung
97;7800270;12.07.2025 08:47;55.129;Kryptowährung
98;7800271;18.05.2025 12:16;17.62;Kryptowährung
99;7800272;30.06.2025 05:02;99.25;Kryptowährung
100;7800273;20.07.2025 01:21;55.130;Kryptowährung
101;7800274;03.07.2025 22:39;55.131;Lastschrift
102;7800275;16.07.2025 07:08;17.63;Lastschrift
103;7800276;12.05.2025 07:18;99.26;Nachnahme
104;7800277;08.06.2025 07:29;55.132;Rechnung
105;7800278;12.05.2025 00:27;55.133;Kryptowährung
106;7800279;21.06.2025 12:49;17.64;Lastschrift
107;7800280;04.07.2025 12:31;99.27;Nachnahme
108;7800281;23.06.2025 14:42;55.134;Rechnung
109;7800282;08.06.2025 12:41;55.135;Kryptowährung
110;7800283;10.05.2025 00:18;17.65;Lastschrift
111;7800284;09.06.2025 09:38;99.28;Nachnahme
112;7800285;02.06.2025 22:30;55.136;Rechnung
113;7800286;30.06.2025 20:11;55.137;Kryptowährung
114;7800287;17.05.2025 13:15;17.66;Kryptowährung
115;7800288;22.07.2025 09:03;99.29;Kryptowährung
116;7800289;03.07.2025 04:19;55.138;Kryptowährung
117;7800290;16.07.2025 11:59;55.139;Kryptowährung
118;7800291;17.06.2025 16:34;17.67;Lastschrift
119;7800292;16.06.2025 22:59;99.30;Nachnahme
120;7800293;10.05.2025 08:38;55.140;Rechnung
121;7800294;23.05.2025 07:07;55.141;Lastschrift
122;7800295;22.07.2025 07:21;17.68;Nachnahme
123;7800296;23.07.2025 16:07;99.31;Rechnung
124;7800297;24.05.2025 07:26;55.142;Lastschrift
125;7800298;06.06.2025 07:10;55.143;Nachnahme
126;7800299;20.06.2025 18:17;17.69;Rechnung
127;7800300;08.06.2025 10:57;99.32;Lastschrift
128;7800301;20.07.2025 12:01;55.144;Nachnahme
129;7800302;22.06.2025 00:38;55.145;Rechnung
130;7800303;05.06.2025 15:57;17.70;Lastschrift
131;7800304;20.06.2025 01:06;99.33;Nachnahme
132;7800305;28.05.2025 22:21;55.146;Rechnung
133;7800306;04.05.2025 20:19;55.147;Lastschrift
134;7800307;10.07.2025 23:38;17.71;Nachnahme
135;7800308;31.05.2025 00:41;99.34;Kryptowährung
136;7800309;20.07.2025 00:09;55.148;Kryptowährung
137;7800310;29.06.2025 21:22;55.149;Kryptowährung
138;7800311;25.05.2025 05:15;17.72;Kryptowährung
139;7800312;01.07.2025 05:51;99.35;Lastschrift
140;7800313;14.06.2025 20:24;55.150;Nachnahme
141;7800314;11.05.2025 14:43;55.151;Rechnung
142;7800315;08.07.2025 11:41;17.73;Lastschrift
143;7800316;17.07.2025 19:53;99.36;Nachnahme
144;7800317;23.05.2025 12:58;55.152;Kryptowährung
145;7800318;30.06.2025 19:42;55.153;Kryptowährung
146;7800319;22.05.2025 20:22;17.74;Kryptowährung
147;7800320;12.07.2025 08:47;99.37;Kryptowährung
148;7800321;18.05.2025 12:16;55.154;Lastschrift
149;7800322;30.06.2025 05:02;55.155;Nachnahme
150;7800323;20.07.2025 01:21;17.75;Rechnung
151;7800324;03.07.2025 22:39;99.38;Lastschrift
152;7800325;16.07.2025 07:08;55.156;Nachnahme
153;7800326;12.05.2025 07:18;55.157;Kryptowährung
154;7800327;08.06.2025 07:29;17.76;Kryptowährung
155;7800328;12.05.2025 00:27;99.39;Kryptowährung
156;7800329;21.06.2025 12:49;55.158;Kryptowährung
157;7800330;04.07.2025 12:31;55.159;Lastschrift
158;7800331;23.06.2025 14:42;17.77;Kryptowährung
159;7800332;08.06.2025 12:41;99.40;Lastschrift
160;7800333;10.05.2025 00:18;55.160;Nachnahme
161;7800334;09.06.2025 09:38;55.161;Rechnung
162;7800335;02.06.2025 22:30;17.78;Lastschrift
163;7800336;30.06.2025 20:11;99.41;Nachnahme
164;7800337;17.05.2025 13:15;55.162;Kryptowährung
165;7800338;22.07.2025 09:03;55.163;Kryptowährung
166;7800339;03.07.2025 04:19;99.142;Lastschrift
167;7800340;16.07.2025 11:59;109.131;Nachnahme
168;7800341;17.06.2025 16:34;17.88;Rechnung
169;7800342;16.06.2025 22:59;99.143;Lastschrift
170;7800343;10.05.2025 08:38;109.132;Nachnahme
171;7800344;23.05.2025 07:07;17.55;Kryptowährung
172;7800345;22.07.2025 07:21;99.110;Kryptowährung
173;7800346;23.07.2025 16:07;109.99;Lastschrift
174;7800347;24.05.2025 07:26;17.56;Nachnahme
175;7800348;06.06.2025 07:10;99.111;Rechnung
176;7800349;20.06.2025 18:17;109.100;Lastschrift
177;7800350;08.06.2025 10:57;17.57;Lastschrift
178;7800351;20.07.2025 12:01;99.112;Nachnahme
179;7800352;22.06.2025 00:38;109.101;Rechnung
180;7800353;05.06.2025 15:57;17.58;Rechnung
181;7800354;20.06.2025 01:06;99.113;Rechnung
182;7800355;28.05.2025 22:21;109.102;Rechnung
183;7800356;04.05.2025 20:19;17.59;Rechnung
184;7800357;10.07.2025 23:38;99.114;Rechnung
185;7800358;31.05.2025 00:41;109.103;Rechnung
186;7800359;20.07.2025 00:09;17.60;Rechnung
187;7800360;29.06.2025 21:22;99.115;Rechnung
188;7800361;25.05.2025 05:15;109.104;Rechnung
189;7800362;01.07.2025 05:51;17.61;Rechnung
190;7800363;14.06.2025 20:24;99.116;Rechnung
191;7800364;11.05.2025 14:43;109.105;Rechnung
192;7800365;08.07.2025 11:41;17.62;Rechnung
193;7800366;17.07.2025 19:53;99.117;Rechnung
194;7800367;23.05.2025 12:58;109.106;Rechnung
195;7800368;30.06.2025 19:42;17.63;Lastschrift
196;7800369;22.05.2025 20:22;99.118;Nachnahme
197;7800370;12.07.2025 08:47;109.107;Rechnung
198;7800371;18.05.2025 12:16;17.64;Lastschrift
199;7800372;30.06.2025 05:02;99.119;Nachnahme
200;7800373;20.07.2025 01:21;109.108;Kryptowährung
201;7800374;03.07.2025 22:39;17.65;Kryptowährung
202;7800375;16.07.2025 07:08;99.120;Lastschrift
203;7800376;12.05.2025 07:18;109.109;Nachnahme
204;7800377;08.06.2025 07:29;17.66;Rechnung
205;7800378;12.05.2025 00:27;99.121;Lastschrift
206;7800379;21.06.2025 12:49;109.110;Nachnahme
207;7800380;04.07.2025 12:31;17.67;Lastschrift
208;7800381;23.06.2025 14:42;99.122;Nachnahme
209;7800382;08.06.2025 12:41;109.111;Rechnung
210;7800383;10.05.2025 00:18;17.68;Lastschrift
211;7800384;09.06.2025 09:38;99.123;Nachnahme
212;7800385;02.06.2025 22:30;109.112;Kryptowährung
213;7800386;30.06.2025 20:11;17.69;Kryptowährung
214;7800387;17.05.2025 13:15;99.124;Lastschrift
215;7800388;22.07.2025 09:03;109.113;Lastschrift
216;7800389;03.07.2025 04:19;17.70;Nachnahme
217;7800390;16.07.2025 11:59;99.125;Rechnung
218;7800391;17.06.2025 16:34;109.114;Lastschrift
219;7800392;16.06.2025 22:59;17.71;Nachnahme
220;7800393;10.05.2025 08:38;99.126;Kryptowährung
221;7800394;23.05.2025 07:07;109.115;Kryptowährung
222;7800395;22.07.2025 07:21;17.72;Lastschrift
223;7800396;23.07.2025 16:07;99.127;Nachnahme
224;7800397;24.05.2025 07:26;109.116;Rechnung
225;7800398;06.06.2025 07:10;17.73;Lastschrift
226;7800399;20.06.2025 18:17;99.128;Nachnahme
227;7800400;08.06.2025 10:57;109.117;Lastschrift
228;7800401;20.07.2025 12:01;17.74;Nachnahme
229;7800402;22.06.2025 00:38;99.129;Rechnung
230;7800403;05.06.2025 15:57;109.118;Lastschrift
231;7800404;20.06.2025 01:06;17.75;Nachnahme
232;7800405;28.05.2025 22:21;99.130;Kryptowährung
233;7800406;04.05.2025 20:19;109.119;Kryptowährung
234;7800407;10.07.2025 23:38;17.76;Lastschrift
235;7800408;31.05.2025 00:41;99.131;Rechnung
236;7800409;20.07.2025 00:09;109.120;Rechnung
237;7800410;29.06.2025 21:22;17.77;Rechnung
238;7800411;25.05.2025 05:15;99.132;Rechnung
239;7800412;01.07.2025 05:51;109.121;Rechnung
240;7800413;14.06.2025 20:24;17.78;Rechnung
241;7800414;11.05.2025 14:43;99.133;Rechnung
242;7800415;08.07.2025 11:41;109.122;Rechnung
243;7800416;17.07.2025 19:53;17.79;Rechnung
244;7800417;23.05.2025 12:58;99.134;Rechnung
245;7800418;30.06.2025 19:42;109.123;Rechnung
246;7800419;22.05.2025 20:22;17.80;Rechnung
247;7800420;12.07.2025 08:47;99.135;Rechnung
248;7800421;18.05.2025 12:16;109.124;Rechnung
249;7800422;30.06.2025 05:02;17.81;Rechnung
250;7800423;20.07.2025 01:21;99.136;Rechnung
